index	q1	count	category
68	서울형 긴급복지 지원제도의 신청방법은 어떻게 되나요?	0	0
69	서울형 긴급복지 지원제도에 대해 자세하게 물어볼 수 있는 곳은 어디인가요?	0	0
70	서울시에는 어떤 노숙인 복지시설이 있나요?	0	0
71	종합지원센터의 일시보호시설에 대해 알려주세요	0	0
72	노숙인 복지시설에서는 노숙인들을 위해 어떤 서비스를 제공하나요?	0	0
73	의료급여를 받을 수 있는 노숙인의 기준이 뭔가요?	0	0
74	노숙인이 병원을 방문하고 싶을때는 어떻게 해야 무료로 이용할 수 있나요?	0	0
75	어디에서 의료보호증이 없이 무료로 진료 받아 볼 수 있나요?	0	0
76	서울시에서 하는 어르신 맞춤형 스마트폰 보급에 대해 알려주세요	0	0
77	어르신 맞춤형 스마트폰 보급으로 받은 핸드폰의 이용료는 얼마나 될까요?	0	0
78	어르신 맞춤형 스마트폰 보급 가입대상이 어떻게 되나요?	0	0
79	어르신 맞춤형 스마트폰 보급으로 스마트폰 가입한 어르신들의 사용 방법 교육도 해주나요?	0	0
80	서울시에서 하는 나혼자 한강따라걷기 챌린지에 대해 알려주세요	0	0
81	나혼자 한강따라걷기 챌린지의 열두개 코스를 알려 주실래요?	0	0
82	지방세 납세 증명서를 발급받고 싶은데 어떻게 해야하나요?	0	0
83	지방세 완납 증명서는 어디에서 발급받을 수 있나요?	0	0
84	주정차위반 과태료 조회를 어디에서 할 수 있나요?	0	0
85	조회가능한 자동차 과태료는 어떤것이 있나요?	0	0
86	과태료 조회는 어떻게 하는지 알려 주시겠어요?	0	0
87	사망자의 제적등본이 필요한데 주민번호를 알아야 하나요?	0	0
88	보건증을 받으러 가야하는데 어디가서 발급받아야 되나요?	0	0
89	보건증 갱신 주기는 어떻게 되나요?	0	0
90	세목별과세증명서는 어디서 발급받나요?	0	0
91	세목별과세증명서 발급받을 때 기입해야 할 정보가 있나요?	0	0
92	서초구 보건소에서 건강검진을 해주나요?	0	0
93	삼천 팔십 구민건강검진 검사는 어떤 것을 해주나요?	0	0
94	삼천 팔십 구민건강검진 비용은 얼마인가요?	0	0
95	행복서초건강검진을 받으려면 미리 예약을 해야 하나요?	0	0
96	보건소에서 국민건강보험공단의 건강검진을 받을 수 있나요?	0	0
97	국민건강보험공단의 건강검진 검사는 어떤 것을 하나요?	0	0
98	국민건강보험공단의 건강검진 비용은 얼마인가요?	0	0
99	청소년증은 몇세부터 발급받을 수 있나요?	0	0
100	청소년증은 신분증 기능을 하나요?	0	0
101	청소년증에 신분증 기능 외에도 추가되는 기능이 있나요?	0	0
102	청소년증 사용시 혜택 받을 수 있는 곳이 있나요?	0	0
103	청소년증을 신청은 어디서 하나요?	0	0
104	미성년자가 주민등록등본을 발급받을 수 있나요?	0	0
105	주민등록등본 발급받는 비용은 얼마인가요?	0	0
106	중고차를 사서 제가 셀프로 명의이전 할 수 있나요?	0	0
107	중고차 명의이전할 때 제가 준비해야 할 서류는 어떤 것이 있죠?	0	0
108	스쿠터를 살건데 어떻게 명의 변경하면 되나요?	0	0
109	오토바이를 말소해야하는데 어디서 말소해야 하죠?	0	0
110	제가 직접 오토바이 말소 하려는데 준비해야 할 서류는 어떤 것이 있나요?	0	0
111	이륜자동차 사용폐신고서는 어디에 있나요?	0	0
112	오토바이를 양도할 경우에 준비해야 할 서류는 어떤것이 있나요?	0	0
113	지방세 환급금 신청은 어떻게 해야하죠?	0	0
114	지방세 환급금을 기부할 수도 있나요?	0	0
115	인터넷으로 고등학교 졸업증명서를 발급 받을 수 있나요?	0	0
116	어디서 고등학교 졸업증명서를 발급받을 수 있죠?	0	0
117	정부 이십사 홈페이지에서 고등학교 졸업증명서 발급 과정을 설명해 주세요	0	0
118	고등학교 졸업증명서 발급 수수료는 얼마인가요?	0	0
119	뚝섬 한강공원 주차장 월 정기권은 얼마인가요?	0	0
120	주차장 운영시간에 입차하여 운영시간 종료 후 출차할 경우에는 어떻게 요금을 징수하죠?	0	0
121	민방위 일년차 교육은 어떻게 하나요?	0	0
122	민방위 이년차에서 사년차는 어떻게 하나요?	0	0
123	사이버 민방위 비상소집훈련하는 곳이 있나요?	0	0
124	출생신고를 해야 하는데 어디서 신고해야 하나요?	0	0
125	출생신고시 필요한 서류가 있나요?	0	0
126	대리인이 출생신고를 하려고 할 때 필요한 서류는 무엇이 있나요?	0	0
127	외국인과의 혼인신고를 하려고하는데 어떤 서류를 준비해야 하나요?	0	0
128	긴급고용안정 지원금을 받을 수 있는 직종은 어떻게 되나요?	0	0
129	긴급고용안정 지원금을 신청하려면 필요한 서류가 어떤것이 있나요?	0	0
130	외식업체 육성자금 지원 대상자가 어떻게 되나요?	0	0
131	외식업체 시설자금 융자는 어디에 쓸 수 있나요?	0	0
132	외식업체 시설자금의 금리를 인하 시키는 조건은 없나요?	0	0
133	외식업체 시설자금은 어디서 접수하나요?	0	0
134	코로나 ㅤㄸㅒㅤ문에 가게를 폐업하려고 하는데 정부에서 지원하는 정책이 있나요?	0	0
135	폐업 소상공인 점포철거비 및 원상복구 지원대상에 해당하지 않는 경우는 어떤것이 있을 까요?	0	0
136	폐업 소상공인 점포철거비 및 원상복구 지원을 온라인에서 어떻게 신청하나요?	0	0
137	폐업 소상공인 점포철거비 및 원상복구 지원신청에 필요한 서류가 어떻게 되나요?	0	0
138	노선버스 고속도로 통행료를 면제해 주고 있나요?	0	0
139	코로나일구 피해 중소기업대상 특례보증 지원은 어떤 기업이 지원을 받을 수 있나요?	0	0
140	코로나일구 피해 중소기업대상 특례보증은 어떤 지원을 받을 수 있죠?	0	0
141	어떤 회사가 힘내라 대한민국 특별운영자금을 지원받을 수 있나요?	0	0
142	중소활력 보강프로그램은 어떤 기업이 융자를 지원받을 수 있나요?	0	0
143	중소기업을 대상으로 기업 금융지원하는 상품은 어떤 것들이 있나요?	0	0
144	운영자금지원은 어떤 건가요?	0	0
145	수출실적 기반자금은 무엇인가요?	0	0
146	아동돌봄 쿠폰 제도는 무엇인가요?	0	0
147	청년 구직활동 지원금의 신청 자격이 어떻게 되나요?	0	0
148	학원휴원지원금 있다는데 지원금은 얼마 주시는 건가요?	0	0
149	학원휴원지원금 신청에 필요한 서류는 뭐가있죠?	0	0
150	학원휴원지원금은 어디로 가서 접수 해야 하나요?	0	0
151	서울형 골목상권 일일구 긴급자금 지원이 뭔가요?	0	0
152	청년특별구직 지원금은 어디에서 신청할 수 있나요?	0	0
153	서울시에서 겨울 방학 대학생 아르바이트를 모집을 하나요?	0	0
154	겨울 방학 대학생 아르바이트는 공무원들이 수행하는 각종 업무를 하는 건가요?	0	0
155	성폭력 신고, 상담, 피해, 구제에 대한 어려움의 신고를 어디서 하나요?	0	0
156	온 서울 세이프 주소가 어떻게 되나요?	0	0
157	온 서울 세이프 카카오톡 오픈 채팅방이 있나요?	0	0
158	그루밍 성범죄는 어떤건가요?	0	0
159	대학수학능력시험일에 장애인 수험생들에 장애인 콜택시를 우선 배치한다고 하는 데 맞나요?	0	0
160	언제부터 장애 수험생 우선배차 서비스가 생겼나요?	0	0
161	서울시 장애인 콜택시의 종류는 어떻게 되나요	0	0
162	한강공원에 약속이 있거나 응급상황이 발생하였을 경우에 내 위치를 상대에게 알려 주는 방법이 있을까요?	0	0
163	어디야 한강 앱의 주요 기능은 무엇인가요?	0	0
164	어디야 한강 앱의 위치공유는 어떤 표시를 하는건가요?	0	0
165	어디야 한강 앱의 상황대처 시스템은 응급상황 일때 누르면 되는 건가요?	0	0
166	어디야 한강 앱의 주변시설은 내 주변 편의시설을 확인 할 수 있는건가요?	0	0
167	우리나라 최초의 기상역사박물관은 어디에 있을까요?	0	0
168	서울기상 관측소에서는 서울의 날씨를 측정하는 건가요?	0	0
169	서울기상 관측소는 역사를 소개하는 박물관으로도 이용되고 있나요?	0	0
170	서울 기상관측소가 등록문화재로도 등재 되어있나요?	0	0
171	서울기상 관측소는 어떻게 구성 되어져 있나요?	0	0
172	북서울 꿈의 숲 음악소풍 뮤직테라피는 어떤 취지로 계획 하게 된건가요?	0	0
173	남산 한양도성 유적이 시민에게 공개 되나요?	0	0
174	남산 한양도성 유적은 어떤 모습일까요?	0	0
175	서울시는 언제부터 남산 회현자락 정비사업을 해왔나요?	0	0
176	서울 국제 트래블 마트를 온라인으로 하는 이유가 뭔가요?	0	0
177	서울 국제 트래블 마트의 홈페이지 주소는 어떻게 되나요?	0	0
178	서울사람책도서관 플랫폼 제안은 어떤 온라인 시범 서비스인가요?	0	0
179	서울사람책도서관 플랫폼 제안은 무엇을 하는 건가요?	0	0
180	서울사람책도서관 시범사업의 콘텐츠는 어디서 볼 수 있을까요?	0	0
181	육이오 전쟁 발발 칠십년 서울역사 학술대회는 어떤 주제로 진행되나요?	0	0
182	혹시 길고양이들 중성화 수술을 서울시에서도 해 주고 있는 건가요?	0	0
183	길고양이 중성화를 왜 하는 건가요?	0	0
184	중성화된 고양이인지 아닌지는 어떻게 알 수 있나요?	0	0
185	요즘 집 근처에서 고양이 울음소리가 너무 들려서 힘든데 어떻게 할 수 없을까요?	0	0
186	혹시 서울시에서 유실동물을 구조하여 보호하나요?	0	0
187	키우던 강아지를 잃어버렸는데 어떻게 해야 하나요?	0	0
188	맹견을 키우려면 어떻게 해야하나요?	0	0
189	맹견 관리규정 위반한 것에 대해서는 어디에 신고하나요?	0	0
190	입마개를 안한 뱅견으로 인명사고가 나면 어떻게 되는 건가요?	0	0
191	강아지를 키우면 꼭 동물 등록을 해야하는건가요?	0	0
192	인터넷으로 취득세율을 확인할 수 있을까요?	0	0
193	분양 받은 아파트에 대한 취득세는 언제 신고를 해야 하는 건가요?	0	0
194	재산세가 뭔가요?	0	0
195	재산세 과세기준일이 언제 인가요?	0	0
196	자동차세 연납은 언제 가능한가요?	0	0
197	자동차세 연납신청은 어디서 할 수 있나요?	0	0
198	서울시 신혼부부 임차보증금 지원을 어떻게 신청을 하면 될까요?	0	0
199	서울시 신혼부부 임차보증금 지원 상담은 어디에서 받을 수 있나요?	0	0
200	졸업증명서는 어디서 신청해서 받을 수있나요?	0	0
201	재학증명서는 어디서 신청해서 받을 수있나요?	0	0
202	제 차량이 몇 등급인지 어디서 확인할 수 있나요?	0	0
203	배출가스 오등급 차량 운행제한은 왜 하는 건가요?	0	0
204	배출가스 오등급 차량인지 아닌지 확인은 어떻게 해요?	0	0
205	실업급여를 받으면 청년수당을 받을 수 없나요?	0	0
206	청년수당은 어디에 사용할 수 있는 건가요?	0	0
207	청년수당이라는 게 뭔가요?	0	0
208	청년수당은 구체적으로 어디에 쓸 수 있나요?	0	0
209	희망두배 청년통장이란 뭔가요?	0	0
210	희망두배 청년통장의 신청 제한이 있나요?	0	0
211	희망두배 청년통장 개설할 때 필요한 것이 뭐가 있을까요?	0	0
212	희망두배 청년통장 만들때 본인 근로소득은 어떻게 확인하나요?	0	0
213	희망두배 청년 통장 만들때 대리인이 접수할 수 있을까요?	0	0
214	청년월세지원을 신청하면 희망두배청년통장을 만들 수 없나요?	0	0
215	서울도시농업은 어떤 것인가요?	0	0
216	서울도시농업 정책은 왜 시행을 하게 된 것인가요?	0	0
217	서울도시농업 정책은 어떤 사업들이 진행 중인가요?	0	0
218	반려식물 보급이라는 것은 뭔가요?	0	0
219	반려식물 보급에 참여할 수 있는 조건이 어떻게 되나요?	0	0
220	도시농업 민간단체 공모사업이란 뭔가요?	0	0
221	도시농업 민간단체 공모사업을 추진하는 이유가 뭐예요?	0	0
222	공동체 지원사업이란건 뭔가요?	0	0
223	공동체 지원사업의 운영규모는 기준이 정해져 있는 건가요?	0	0
224	서울양봉지원이란 뭔가요?	0	0
225	서울양봉지원에 참여는 어떻게 해요?	0	0
226	서울농부회원이란 무엇인가요?	0	0
227	서울형 도시텃밭 조성이란 무엇인가요?	0	0
228	서울형 도시텃밭 조성은 어떻게 지원을 해주는 건가요?	0	0
229	서울형 도시텃밭 조성은 어떻게 신청을 하면 되나요?	0	0
230	함께서울 친환경농장이란 어떤 것인가요?	0	0
231	함께서울 친환경농장은 무료로 지원을 해 주는 건가요?	0	0
232	서울의 랜드마크에 대해 알려주실 수 있을까요?	0	0
233	서울로 칠공일칠은 뭔가요?	0	0
234	우리마을가게 상권분석 서비스라는 것은 어떤 것인가요?	0	0
235	우리마을가게 상권분석 서비스를 이용하려면 어떻게 해야 하나요?	0	0
236	국제운전면허증을 발급받으려면 어떻게 해야 하나요?	0	0
237	국제운전면허 신청 시 준비해야할 것은 뭐가 있을까요?	0	0
238	국제운전면허 발급 시 수수료가 발생하나요?	0	0
239	건축물대장을 발급 받으려면 어떻게 해야 하나요?	0	0
240	제로페이가 뭔가요?	0	0
241	출산지원금 신청 방법에 대해서 알려주세요	0	0
242	출생축하선물 신청하는 법 알려주세요	0	0
243	청년주택의 공급정보는 어디에서 확인할 수 있나요?	0	0
244	거주자 우선주차 신청 방법에 대해 알려주세요	0	0
245	따릉이 자전거 결제는 어떻게 하나요?	0	0
246	서울시 행복주택사업에 대해 설명해주세요	0	0
247	서울시 청년수당 사업공고는 어디에서 확인할 수 있나요?	0	0
248	광고 표시 기준에 대해서 알려주세요	0	0
249	광고 표시 기준에 대해서 어디에 문의하면 되나요?	0	0
250	전세보증금 반환보증 제도가 뭐예요?	0	0
251	청년 전세임대 입주자 모집이 뭔가요?	0	0
252	가족돌봄비용은 어디에서 신청하면 되나요?	0	0
253	지방세가 뭐예요?	0	0
254	취득세가 뭐예요?	0	0
255	지방세 납부내역을 확인할 수 있는 방법을 알려주세요	0	0
256	지방소득세가 뭔지 알고 싶어요.	0	0
257	한부모 가정 혜택에 대해서 알려주세요	0	0
258	증여세 신고기한이 알고 싶어요	0	0
259	학자금 상환제도라는게 있나요?	0	0
260	국가장학금 유형의 차이를 알고싶어요	0	0
261	국가장학금 신청방법에 대해 알려주세요	0	0
262	주민등록초본을 발급 받고 싶은데 어디서 발급받죠?	0	0
263	청년특별구직지원금이 청년수당이랑 중복 신청가능한건가요?	0	0
264	신혼부부 임차보증금지원의 대출한도를 사전에 조회 가능할까요?	0	0
265	희망의 집수리 신청은 어떻게 하면 되는건가요?	0	0
266	돌봄 에스오에스 센터는 어떻게 이용할 수 있는지 궁금합니다	0	0
267	돌봄 에스오에스 센터는 어떤 서비스가 있는지 궁금합니다	0	0
268	지방세를 내려면 어떻게 해야됩니까?	0	0
269	위택스 사이트 주소가 어떻게 됩니까?	0	0
270	지방세는 조회할 수 있습니까?	0	0
271	희망두배 청년통장은 무엇입니까?	0	0
272	서울청년의 나이는 어떻게 되나요?	0	0
273	신혼부부 전세대출 문의하려합니다.	0	0
274	버팀목 대출 받으려면 조건이 있습니까?	0	0
275	연말정산 문의하려합니다.	0	0
276	전년도 고용보험 납입 내역은 어떻게 구하나요?	0	0
277	연말정산 환급 언제됩니까?	0	0
278	문화비 소득공제는 얼마나 가능하나요?	0	0
279	연말정산으로 월세 공제를 받을 수 있습니까?	0	0
280	운전면허증을 분실했습니다.	0	0
281	운전면허증 재발급은 어떻게 하나요?	0	0
282	영문으로 운전면허증 발급도 됩니까?	0	0
283	보건증은 어디서 출력이 가능합니까?	0	0
284	보건증 발급은 어떻게 합니까?	0	0
285	청년귀농인 지원사업 어떤게 있는지 알고싶습니다.	0	0
286	정착장려금은 어떻게 신청합니까?	0	0
287	귀농정착인 지원 문의합니다.	0	0
288	다른 지역으로 이사가면 귀농정착인 지원금은 어떻게 되나요?	0	0
289	귀농정착인 지원을 어떻게 하나요?	0	0
290	자동차 등록 어떻게 합니까?	0	0
291	다가구 혜택 문의좀 드리려합니다.	0	0
292	내일배움카드 신청하려고 합니다.	0	0
293	저 여권 좀 만들려고 합니다.	0	0
294	여권 만들 때 준비해갈 것들이 있나요?	0	0
295	주택입주 확정일자 받으려 합니다.	0	0
296	문화생활 이용가능한곳 있을까요?	0	0
297	박물관쪽으로 안내해주시겠어요?	0	0
298	한성백제박물관으로 알려주세요.	0	0
299	출생신고 관련 문의 드리려고 합니다.	0	0
300	출생신고를 늦게하면 벌금이 있다던데 맞아요?	0	0
301	출생신고 과태료를 할인 받을 수는 없을까요?	0	0
302	청소년증 버스카드로도 사용가능한가요?	0	0
303	청소년증 잃어버렸는데 재발급 받을 수 있어요?	0	0
304	청소년증 시험볼 때 신분증으로 쓸 수 있나요?	0	0
305	청소년증 발급신청확인서는 뭔가요?	0	0
306	코로나 자가격리시 일을 못하는데 어떻게 하나요?	0	1
307	모든 사람이 코로나 지원금을 받을 수 있나요?	0	1
308	코로나 자격격리 지원금 대상이 어떻게 되나요?	0	1
309	코로나 자가격리 지원금이 얼마나 지원되나요?	0	1
310	코로나 자가격리 지원금을 위한 필요서류가 있나요?	0	1
311	코로나 자가격리 지원금 방문접수도 가능한가요?	0	1
312	소상공인에 대한 별도의 코로나 금융지원이 있나요?	0	1
313	코로나십구 피해기업 긴급자금 지원은 뭔가요?	0	1
314	코로나십구 피해기업 긴급자금 지원금은 얼마나되나요?	0	1
315	중소기업육성기금은은 시중은행협력자금에서는 얼마나 지원하나요?	0	1
316	중소기업육성기금의 이율은 어떻게 되나요?	0	1
317	중소기업육성기금의 상환조건은 어떻게 되나요?	0	1
318	서울형 골목상권 일일구 긴급자금 지원이 뭔가요?	0	1
319	서울형 골목상권 일일구 또다른 제약이 있나요?	0	1
320	서울형 골목상권 일일구 지원 한도는 얼마인가요?	0	1
321	서울형 골목상권 일일구 지원 상환조건은 어떻게 되나요?	0	1
322	 서울형 골목상권 일일구 지원 해당은행은 어디인가요?	0	1
323	 서울형 골목상권 일일구 지원 보증요율은 어떻게 되나요?	0	1
324	 농협에서 진행하는 코로나십구 긴급경영 안정 자금지원이 있나요?	0	1
325	 농협에서 진행하는 코로나십구 긴급경영 안정 자금지원 지원대상이 어떻게 되나요?	0	1
326	 농협에서 진행하는 코로나십구 긴급경영 안정 자금지원 지원 한도는 얼마인가요?	0	1
327	 농협에서 진행하는 코로나십구 긴급경영 안정 자금지원 지원 금리는 어떻게 되나요?	0	1
328	 농협에서 진행하는 코로나십구 긴급 경영 안정 자금 지원 상환조건은 어떻게 되나요?	0	1
329	농협에서 진행하는  코로나십구 긴급 경영 안정 자금 지원 지원절차는 어떻게 되나요?	0	1
330	 농협에서 진행하는 코로나십구 긴급 경영 안정 자금 지원 보증 요율은 어떻게 되나요?	0	1
331	 자가격리시 일을 못하는데 어떻게 하나요?	0	1
332	 지원금을 격리되는 사람은 모두 받을 수 있나요?	0	1
333	 취약노동자들은 어떤 기준으로 선정하나요?	0	1
334	 소상공인에 대한 코로나십구 금융지원 사업이 있나요?	0	1
335	 코로나십구 피해기업 긴급자금 지원은 뭔가요?	0	1
336	 코로나십구 피해기업 긴급자금 지원 신청은 어떻게 하나요?	0	1
337	 혹시 코로나십구 피해기업 긴급자금 지원를 시중은행협력자금에서는 얼마나 지원하나요?	0	1
338	 골목상권 일일구 긴급자금 지원이 뭔가요?	0	1
339	 청년특별구직 지원금을 받고 싶은데요	0	1
340	 청년특별구직 지원금을 얼마를 주시나요?	0	1
341	 제가 작은 기업을 운영중인데요 코로나 이차지원금이 있다고 하던데, 맞나요?	0	1
342	 코로나 이차지원금에 근로자수가 중요한가요?	0	1
343	 소상공인 지원상담은 누구에게 하면 되나요?	0	1
344	 소상공인 이차 재난지원금 신청은 언제부터 했죠?	0	1
345	 코로나 소상공인 지원금을 받으려면 조건이 있나요?	0	1
346	 올해 창업한 사업주도 코로나 소상공인 지원금을 받을 수 있나요?	0	1
347	 헌텅포차,주점,뷔페,방문판매업체,대형학원,노래연습장등 이런 곳들은 어떤 코로나 관련 지원을 받을 수 있나요?	0	1
348	 코로나로 인해 영업제한을 한 업종은 얼마 받나요?	0	1
349	 소상공인 이차 지원금은 어디서 신청가능 합니까?	0	1
350	 소상공인 이차 지원금은  두개의 사업체를 가지고 있으면 두군데 다 받을 수 있나요?	0	1
351	 소상공인 이차 지원금은 공동대표자가 운영할 경우 누구에게 지원금이 지급되나요?	0	1
352	 코로나로 인해 이미 페업한 소상공인도 지원받을 수 있나요?	0	1
353	 폐업 소상공인도 코로나 지원금 받으려면 어떤 서류가 필요할 까요?	0	1
354	 폐업한 소상공인의 재도전지원금도 있나요?	0	1
355	소상공인 어떤 새희망자금 지원금이 있을까요?	0	1
356	 신청은 어떻게 하는건가요?	0	1
357	 새희망자금 지원금 필요한건 뭔가요?	0	1
358	 개인 어떤 지원금이 있을까요?	0	1
359	긴급 고용안전 지원금으로 안내해주세요.	0	1
360	지원 금액이 어떻게 될까요?	0	1
361	 재도전장려금 어디에서 신청 가능할까요?	0	1
362	 재도전장려금 지원금이 얼만가요?	0	1
363	 십일월에 결혼식 올려도 되나요?	0	1
364	 혹시 실내 오십인 이상 집합 어기면 어떻게 될까요?	0	1
365	 방역수칙좀 알려주세요	0	1
366	 서울시에서 지역일자리 사업을 시작한다는 뉴스를 봤는데요	0	1
367	 고용유지지원금은 얼마인가요?	0	1
368	 지원은 누가 받을 수 있나요?	0	1
369	 그럼 신청은 어떻게 하는거죠?	0	1
370	 고용유지지원금은 예산초과해도 지급이 되는건가요?	0	1
371	 고용유지지원금은 선정기준이 어떻게 되는데요?	0	1
372	 해외로 마스크 보낼 수 있나요?	0	1
373	 해외로 마스크 몇 개 까지 되나요 지금?	0	1
374	 마스크 금액도 제한이 있나요?	0	1
375	 마스크 우체국에서 보낼 수 있는거죠?	0	1
376	 한강에 지금 통제된 구역이 있나요?	0	1
377	 주요밀집지역이 어디에요?	0	1
378	 한강내 주차장 이용도 제한이 있나요?	0	1
379	 대중교통에서 코로나 확진자 나온 통계 알 수 있나요?	0	1
380	 버스는 하루에 코로나 소독을 몇 번이나 하나요?	0	1
381	 버스정류장도 코로나 소독이 되나요?	0	1
382	 코로나 소독과정이나 일정이 나와있는 곳이 있을까요?	0	1
383	 코로나 방역지침상  편의점 운영중인데 야외테이블 운영은 언제까지 할 수 있나요?	0	1
384	 코로나 출입자 명부는 작성해야 할까요?	0	1
385	 코로나 지원금 신청하고 나면 문자가 온댔는데 안오는데요?	0	1
386	 코로나 지원금 지급 예정일이 언제인가요?	0	1
387	 제가 서울 시민인데 경기도에서 사업을 하면 서울시 코로나 자영업자 지원금  받지 못하나요?	0	1
388	 제가 청년수당 받고 있는데 코로나 지원금 받을 수 있나요?	0	1
389	 코로나 긴급생활 지원금 등록 후 접수완료 문자를 받은 상태인데 이렇게 기다리면 되는건가요?	0	1
390	 코로나 긴급생활 지원금 선불카드 수령은 어떻게하죠?	0	1
391	 코로나 지원금은 개인별로 지급되는거죠?	0	1
392	 코로나 지원금 가구별 지원이라는 건 가구당 한 명만 받을 수 있다는 건가요?	0	1
393	 그럼 엄마랑 제가 받을 수 있는 코로나 지원금은 없을까요?	0	1
394	  코로나 긴급생계지원비 세대주가 있고 저는 동거인으로 되어있는데 제가 대표로 신청 가능한가요?	0	1
395	 코로나 긴급생계지원비 인터넷접수는 어디서해요?	0	1
396	 제가 프리랜서인데 이번  코로나 지원금 대상인가요?	0	1
397	 코로나 지원금  신청은 어디에서 할 수 있어요?	0	1
398	 스캔이 어려운데 혹시 코로나 지원금  직접 제출할 수 있는 곳은 없을까요?	0	1
399	 해외에 있는 지인한테 마스크 보내도 되나요?	0	1
400	 제가 pc방 운영을 몇 달 째 못했는데 코로나 이차 지원금  신청할 수 있나요?	0	1
401	 그럼  희망자원금 얼마나 받을 수 있어요?	0	1
